Day,Sleep time
2021-02-01,23:50
2021-02-03,00:01
2021-02-03,23:54
2021-02-05,00:15
2021-02-05,n/a
2021-02-06,23:58
2021-02-07,23:17
2021-02-09,00:13
2021-02-09,21:41
2021-02-10,23:43
2021-02-12,00:14
2021-02-13,02:11
2021-02-14,01:03
2021-02-14,23:52
2021-02-15,23:41
2021-02-16,23:21
2021-02-17,21:52
2021-02-18,23:47
2021-02-19,23:51
2021-02-21,02:41
2021-02-21,22:57
2021-02-22,23:10
2021-02-23,23:15
2021-02-25,01:54
2021-02-25,23:45
2021-02-26,n/a
2021-02-27,23:11
2021-02-28,22:42
